study_id,title,year,source,stage,decision,exclusion_reason
S167,"Inter-Generational Differences in Perinatal Health Behaviours: A Secondary Analysis of the Born in Bradford Cohort, Disentangling Ethnicity and Migration.",2023,pubmed:37162712,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S168,Health-related quality of life of migrant workers: a systematic literature review.,2023,pubmed:37254085,title_abstract,exclude,5.2.6 review/protocol/commentary
S169,How do people of South Asian origin understand and experience depression? A protocol for a systematic review of qualitative literature.,2016,pubmed:27577586,title_abstract,exclude,5.2.6 review/protocol/commentary
S170,"Acculturation Gap Distress among Latino Youth: Prospective Links to Family Processes and Youth Depressive Symptoms, Alcohol Use, and Academic Performance.",2018,pubmed:29030790,title_abstract,exclude,5.1.1 children/adolescents
S171,'Happy that someone cared'-Non-native-speaking immigrant mothers' experiences of participating in screening for postpartum depression in the Swedish child health services.,2019,pubmed:29804463,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S172,The prevalence of mental health disorders and stress coping strategies among forced migrants from Ukraine and Russia.,2026,pubmed:41946888,title_abstract,include,
S173,"Why underserved patients do not consult their general practitioner for depression: results of a qualitative and a quantitative survey at a free outpatient clinic in Paris, France.",2015,pubmed:25951898,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S174,"Pain drawings, interpreter support and clinical findings among immigrant patients on sick leave in Swedish primary health care.",2019,pubmed:31581973,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S175,Depression among Migrant and Left-Behind Children in China in Relation to the Quality of Parent-Child and Teacher-Child Relationships.,2015,pubmed:26719895,title_abstract,exclude,5.1.1 children/adolescents
S176,"The association between mental health symptoms and mobility limitation among Russian, Somali and Kurdish migrants: a population based study.",2015,pubmed:25884326,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S177,"Urban women's socioeconomic status, health service needs and utilization in the four weeks after postpartum hospital discharge: findings of a Canadian cross-sectional survey.",2008,pubmed:18834521,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S178,Help-seeking intentions and depression treatment beliefs amongst Sri Lankan Australians: A survey following a mental health literacy framework.,2025,pubmed:39474728,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S179,Supporting Transition Resilience Among Newcomer Groups (STRONG): Examining effectiveness and acceptability in urban public schools.,2025,pubmed:39812455,title_abstract,exclude,5.1.1 children/adolescents
S180,Using Participatory Design Methodologies to Co-Design and Culturally Adapt the Spanish Version of the Mental Health eClinic: Qualitative Study.,2019,pubmed:31376271,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S181,Training community-based primary care physicians in the screening and management of mental health disorders among Latino primary care patients.,2016,pubmed:26598287,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S182,Disparities in perceived unmet need for supportive services among patients with lung cancer in the Cancer Care Outcomes Research and Surveillance Consortium.,2014,pubmed:24985538,title_abstract,exclude,5.2.5 no depressive-symptom outcome for migrants (methods/provider/service focus)
S183,"The influence of prenatal trauma, stress, social support, and years of residency in the US on postpartum maternal health status among low-income Latinas.",2011,pubmed:20652383,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S184,Reliability and Validity of an Interviewer-Administered Adaptation of the Youth Self-Report for Mental Health Screening of Vulnerable Young People in Ethiopia.,2016,pubmed:26863626,title_abstract,exclude,5.1.1 children/adolescents
S185,"[Motives for consultation and demographic characteristics of a community of ""undocumented"" immigrants in the district of Usera-Villaverde (Madrid)].",2001,pubmed:11218970,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S186,Family economic stress and academic well-being among Chinese-American youth: the influence of adolescents' perceptions of economic strain.,2009,pubmed:19586191,title_abstract,exclude,5.1.1 children/adolescents
S187,"Level of distress, somatisation and beliefs on health-disease in newly arrived immigrant patients attended in primary care centres in Catalonia and definition of professional competences for their most effective management: PROMISE Project.",2013,pubmed:23641671,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S188,An observer-participant study in primary care of assessments of inability to work in immigrant patients with ongoing sick leave.,2003,pubmed:14695068,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S189,"Development and testing of culturally sensitive patient information material for Turkish, Polish, Russian and Italian migrants with depression or chronic low back pain (KULTINFO): study protocol for a double-blind randomized controlled trial.",2014,pubmed:24996511,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S190,Impact of current U.S. visa policies on Nigerian medical students and physicians seeking graduate medical education.,2026,pubmed:42015162,title_abstract,exclude,5.1.2 pre-migration Nigerian medical students/physicians; 5.2.5 anxiety only
S191,Self-care strategies among Arabic-speaking refugees and the Australian Mental Health Stepped Care Model: a Delphi consensus study.,2026,pubmed:41840682,title_abstract,exclude,5.2.4 forced-migrant sample without prior-profession data
S192,"Testing an integrated model of population mental health: study protocol for the epidemiological, two-arm Mannheim incidence and inception cohort study (MAKO).",2026,pubmed:42521307,title_abstract,exclude,5.2.6 review/protocol/commentary
S193,Conceptualizing Culturally Infused Engagement and Its Measurement for Ethnic Minority and Immigrant Children and Families.,2017,pubmed:28275923,title_abstract,exclude,5.2.6 review/protocol/commentary
S194,Mental health help-seeking behaviours of East Asian immigrants: a scoping review.,2025,pubmed:40631378,title_abstract,exclude,5.2.6 scoping review; mine reference list
S195,COMBINA: The EAAD four-level approach for depression and suicide prevention and wellbeing promotion in the community and vulnerable populations. A cross-country study protocol from the MENTBEST project.,2026,pubmed:42391280,title_abstract,exclude,5.2.6 review/protocol/commentary
S196,Access to Healthcare in Thailand During the COVID-19 Pandemic: A Qualitative Interview Study of Migrants From Myanmar.,2026,pubmed:42184329,title_abstract,exclude,5.2.4 forced-migrant sample without prior-profession data
S197,"Korean American Church Leaders as Mental Health Gatekeepers in the USA: A Needs Assessment of Readiness, Barriers, and Referrals.",2026,pubmed:41723803,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S198,Mental health and mental health help-seeking behaviors among first-generation voluntary African migrants: A systematic review.,2024,pubmed:38498578,title_abstract,exclude,5.2.6 systematic review; mine reference list
S199,Health Impacts of Restrictive Migration Policies: A Qualitative Study of Highly Educated Iranian Immigrants and International Students in the U.S.,2026,pubmed:40790105,title_abstract,include,
S200,Post-migration psychosocial experiences and challenges amongst LGBTQ+ forced migrants: A meta-synthesis of qualitative reports.,2023,pubmed:36320151,title_abstract,exclude,5.2.6 review/protocol/commentary
S201,The interactive role of chronic medical conditions and sleep disturbance in predicting depressive symptoms among Korean American older adults.,2011,pubmed:21140307,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S202,Understanding experiences of mental health help-seeking in Arab populations around the world: a systematic review and narrative synthesis.,2023,pubmed:37161342,title_abstract,exclude,5.2.6 review/protocol/commentary
S203,Seeking help for mental health problems outside the conventional health care system: results from the European Study of the Epidemiology of Mental Disorders (ESEMeD).,2010,pubmed:20840806,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S204,Ethnoracial differences in the clinical characteristics of Alzheimer's disease at initial presentation at an urban Alzheimer's disease center.,2011,pubmed:21522051,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S205,"Longitudinal linkages among parent-child acculturation discrepancy, parenting, parent-child sense of alienation, and adolescent adjustment in Chinese immigrant families.",2013,pubmed:22799587,title_abstract,exclude,5.1.1 children/adolescents
S206,A multilingual telephone service for crisis communication with migrant groups: Swedish experiences of responding to the COVID-19 pandemic.,2026,pubmed:41639809,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S207,"Hyperemesis Gravidarum in the context of migration: when the absence of cultural meaning gives rise to ""blaming the victim"".",2019,pubmed:31182057,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S208,"Community health survey development, administration, social determinants and mental health in African immigrants and refugees in Portland Oregon.",2025,pubmed:41107794,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S209,"Traumatized refugees: morbidity, treatment and predictors of outcome.",2014,pubmed:25162447,title_abstract,exclude,5.2.6 review/protocol/commentary
S210,Emergency radiology in displaced populations: imaging and practical challenges.,2026,pubmed:40824166,title_abstract,exclude,5.2.6 review/protocol/commentary
S211,Migration-induced subjective social mobility and its associations with self-rated mental and general health: A systematic review and narrative synthesis.,2025,pubmed:40780122,title_abstract,exclude,5.2.6 systematic review; MINE REFERENCE LIST (downward social mobility and depression in migrants)
S212,"Effectiveness of a scalable, remotely delivered stepped-care intervention for psychological distress among Polish migrant workers in the Netherlands: The RESPOND randomised controlled trial.",2026,pubmed:42607061,title_abstract,exclude,5.1.2 low- or semi-skilled migrant workers
S213,Mental health and mental health care of South and East Asian immigrant pregnant women residing in five OECD Countries: A systematic review.,2026,pubmed:42127571,title_abstract,exclude,5.2.6 review/protocol/commentary
S214,Online and Offline Intervention for the Prevention of Postpartum Depression among Rural-to-Urban Floating Women: Study Protocol for a Randomized Control Trial.,2022,pubmed:35805609,title_abstract,exclude,5.2.6 review/protocol/commentary
S215,The perinatal mental health experiences of black immigrant mothers in the UK: A qualitative systematic review and thematic synthesis.,2025,pubmed:41417808,title_abstract,exclude,5.2.6 review/protocol/commentary
S009,Burnout and Emotional Well-Being among Nephrology Fellows: A National Online Survey.,2020,pubmed:32123052,full_text,exclude,5.1.3 not met: 35.4% positive depressive screen reported for all 347 fellows only; no estimate for the IMG subgroup (62.5%); IMG status not stratified (PDF p.678-680)
S016,Examining Pre-migration Health Among Filipino Nurses.,2015,pubmed:25385090,full_text,exclude,5.1.2 not met: nurses surveyed in Manila before migration (not yet international migrants); keep as context only
S039,The Extent of Psychosocial Distress among Immigrant and Non-Immigrant Homecare Nurses-A Comparative cross Sectional Survey.,2020,pubmed:32138277,full_text,include,
S058,Quality of Life and Psychometric Characteristics of Syrian Refugee Physicians Who Migrated to Turkey: A Cross-Sectional Study.,2023,pubmed:38094991,full_text,include,
S068,"Migration experiences, employment status and psychological distress among Somali immigrants: a mixed-method international study.",2012,pubmed:22954304,full_text,exclude,5.2.4: MINI sample (n=143 London; n=46 Minneapolis) defined by refugee status with no prior-profession measure; professionals appear only in focus groups; qualitative themes usable for secondary questions
S075,The association between cross-cultural competence and well-being among registered native and foreign-born nurses in Finland.,2018,pubmed:30532137,full_text,include,caveat: distress measured with 4 anxiety/depression items of GHQ-12 (not the full scale)
S090,Under-use of migrants' employment skills linked to poorer mental health.,2012,pubmed:22487345,full_text,exclude,5.2.7 full text not retrievable (paywalled); reviewer decision 2026-09-12 to leave it out
S107,"Microbusinesses and Occupational Stress: Emotional Demands, Job Resources, and Depression Among Korean Immigrant Microbusiness Owners in Toronto, Canada.",2019,pubmed:31588699,full_text,include,
S117,"'Wait and wait, that is the only thing they can say': a qualitative study exploring experiences of immigrated Syrian doctors applying for medical license in Germany.",2020,pubmed:32321507,full_text,exclude,5.2.5 qualitative interviews (n=20) with no validated measure; retain for secondary questions (licensing barriers; loss of status)
S135,Experiences of peripartum depressive symptoms among Chinese middle-class migrant women in the Netherlands: a qualitative study of migrant motherhood.,2023,pubmed:37670269,full_text,exclude,5.1.2 not met: peripartum sample selected on EPDS>=9 (not defined by career stage; mean EPDS 11.5 not interpretable as prevalence); qualitative
S138,Assessing the psychosocial work environment of migrant and non-migrant workers in inpatient mental health centres: A feasibility study.,2022,pubmed:36170329,full_text,exclude,5.2.5 COPSOQ only (burnout; general health); no depressive-symptom measure; 15 of 30 migrants are second-generation
S139,Changes in health after a work-related intervention among highly educated migrants in Norway: a pilot study.,2025,pubmed:41174618,full_text,include,HSCL-10 is a combined anxiety/depression scale; pilot n=21
S159,Downward social mobility and major depressive episodes among Latino and Asian-American immigrants to the United States.,2009,pubmed:19671834,full_text,include,migrant_type = mixed (not defined by profession); tests status-loss mechanism; clinical diagnosis (CIDI)
S172,The prevalence of mental health disorders and stress coping strategies among forced migrants from Ukraine and Russia.,2026,pubmed:41946888,full_text,include,migrant_type = mixed; forced migrants but education and qualification-match reported so 5.2.4 does not apply
S199,Health Impacts of Restrictive Migration Policies: A Qualitative Study of Highly Educated Iranian Immigrants and International Students in the U.S.,2026,pubmed:40790105,full_text,exclude,5.2.5 qualitative (n=23) with no validated measure; 60% current students (5.2.3); retain for secondary questions (visa uncertainty; family separation)
