pmid,title,year,journal,pub_types,language,abstract
33794822,Mental health of undocumented migrants and migrants undergoing regularization in  Switzerland: a cross-sectional study.,2021,BMC Psychiatry,"Journal Article; Research Support, Non-U.S. Gov't",eng,"BACKGROUND: Undocumented migrants live and work in precarious conditions. Few  studies have explored the mental health consequences of such environment. The objective of this study is to describe the mental health of migrants at different stages of a regularization program. METHODS: This cross-sectional study included migrants undocumented or in the process of regularization. We screened for symptoms of anxiety, depression and sleep disturbance using validated tools. We created a composite outcome of altered mental health including these components plus self-report of a recent diagnosis of mental health condition by a health professional. RESULTS: We enrolled 456 participants of whom 246 (53.9%) were undocumented. They were predominantly women (71.9%) with a median age of 43.3 (interquartile range: 15.5) years, from Latin America (63.6%) or Asia (20.2%) who had lived in Switzerland for 12 (IQR: 7) years. Overall, 57.2% presented symptoms of altered mental health. Prevalence of symptoms of anxiety, depression and sleep disturbance were 36% (95% confidence interval: 31.6-40.6%), 45.4% (95% CI: 40.8-50.1%) and 23% (95% CI: 19.2-27.2), respectively. Younger age (adjusted odd ratio: 0.7; 95% CI: 0.5-0.9 for each additional decade), social isolation (aOR: 2.4; 95% CI: 1.4-4.2), exposure to abuse (aOR: 1.9; 95% CI: 1.1-3.5), financial instability (aOR: 2.2; 95% CI: 1.4-3.7) and multi-morbidity (aOR: 3.2; 95% CI: 1.7-6.5) were associated with increased risk of having altered mental health while being in the early stages of the process of regularization had no effect (aOR: 1.3: 95% CI: 0.8-2.2). CONCLUSIONS: This study highlights the need for multi-pronged social and health interventions addressing the various domains of undocumented migrants living difficulties as complement to legal status regularization policies. Protection against unfair working conditions and abuse, access to adequate housing, promoting social integration and preventive interventions to tackle the early occurrence of chronic diseases may all contribute to reduce the burden of altered mental health in this group. More research is needed to assess the long-term impact of legal status regularization on mental health."
39731083,Decoding acculturative stress and psychological distress in Mexican immigrant  women: insights from a path mediation analysis.,2024,BMC Womens Health,Journal Article,eng,"BACKGROUND: This study investigates acculturative stress and its impact on  psychological distress among Mexican immigrant women in the United States, with a particular focus on contextual factors shaping these acculturative stress experiences. It also seeks to provide actionable insights to address Mexican immigrant women's mental health needs. METHODS: Using the data from a total of 257 Mexican immigrant women in the National Latino Asian American Survey (NLAAS), path analysis was conducted to examine the relationships between acculturative stress, psychological distress, and various contextual factors. RESULTS: Acculturative stress was found to significantly contribute to psychological distress among Mexican immigrant women. Key factors affecting acculturative stress include contentment with the decision to move to the United States, English language proficiency, experiences of racial discrimination, difficulties associated with visiting family abroad, religiosity, and age at immigration. Critical determinants of psychological distress in the studied cohort, according to the results, are familismo values and racial discrimination. CONCLUSION: The results of this study underscore the need to consider contextual factors in understanding and addressing acculturative stress and psychological distress among Mexican immigrant women. Practical and policy implications include the necessity to develop culturally sensitive interventions, enhance educational opportunities, improve access to mental health services, and implement anti-discrimination policies. By adopting these strategies, mental health professionals and policymakers can foster resilience, wellbeing, and successful integration of Mexican immigrant women in the U.S. society."
35627563,Academic Performance and the Link with Depressive Symptoms among Rural Han and  Minority Chinese Adolescents.,2022,Int J Environ Res Public Health,"Journal Article; Research Support, Non-U.S. Gov't",eng,"The objectives of this paper were to examine the risk of depression and  depressive symptoms among Han and minority children and adolescents in rural China, the links between academic performance and depressive symptoms, and the prevalence of these links among specific subgroups. A total of 8392 4th, 5th, and 6th grade students at 105 sample rural schools in eight low-income counties and districts in a prefectural-level city in Southwestern China were randomly selected using a three-step sampling strategy. A total of 51% of the sample were female (SD = 0.50), and the age range was 7 to 19 years (mean = 11.35 years; SD = 1.05). Using the Patient Health Questionnaire 8-item depression scale, the prevalence of depressive symptoms in the sample was assessed, while data on students' academic performance (standardized math test) and demographic characteristics were also collected. Our results show that the rates of major depression were 19% for Han students, 18% for Tibetan students, and 22% for Yi students; the rates of severe depression were 2% for Han and Tibetan students, and 3% for Yi students. Yi students were at significantly higher risks for major and severe depression than Han students. We conducted multivariate regression and heterogeneous analyses. Academic performance was negatively and significantly correlated to depressive symptoms. Across the whole sample, students with lower math scores, minority students, boys, younger students, and students with migrant parents were most vulnerable to depressive symptoms. The heterogeneous analysis suggests that among poor-performing students, subgroups at higher risk for depression include boys, non-boarding students, and students whose mothers had graduated from high school or above. These findings indicate a need to improve mental health outcomes of rural Han and minority primary school students, targeting academic performance for possible intervention."
39075428,Insights from the EQUALS4COVID19 study on migrant mental health in Portugal: a  cross-sectional mixed-methods approach.,2024,BMC Public Health,"Journal Article; Research Support, Non-U.S. Gov't",eng,"BACKGROUND: The COVID-19 pandemic and related disruptive consequences in the  economic, health, and educational sectors have impacted people's lives, contributing to a context of increased economic and social vulnerability. The pandemic has revealed and accentuated social inequalities and discrimination based on racial or ethnic origin. This study aimed to contribute to the promotion of the mental health and well-being of migrant populations living in Portugal via the definition of an analytical framework and recommendations emerging from the EQUALS4COVID19 project. METHODS: To gather information on the impact of the COVID-19 pandemic and resilience determinants among immigrants, a mixed-methods approach was implemented in 2022, combining a cross-sectional survey targeting immigrant adults in Portugal, focus groups with immigrants, focus groups with healthcare professionals, and in-depth individual interviews with stakeholders involved in the implementation of measures related to mental health and well-being during the pandemic. The analysis followed an integrated framework; quantitative data informed the script of qualitative data collection methods, and qualitative analysis informed the reinterpretation of quantitative data. RESULTS: The survey with 604 Brazilian and Cape Verdean immigrants revealed that gender (being a woman) was associated with both psychological distress and depression-related symptomatology and that the perception of discrimination was a major risk factor for psychological suffering, while perceived social support and individuals' resilience characteristics were protective factors. Qualitative data provided deeper insights into these findings, revealing the ways mental health is affected by social structures, such as gender and ethnic hierarchies. Migrants tend to work in precarious jobs requiring physical presence, which, together with dense housing conditions, puts them at higher risk of infection. The deterioration of the economic conditions of the general population has also increased the perception of ethnic-racial discrimination, which was found to be related to the increase in insecurity and anxiety-related symptomatology among the migrant population. Newly arrived migrants, with reduced support networks, experienced a greater sense of insecurity as well as concern and anguish regarding relatives who live far away, in their home country. Migrant women reported greater family-related distress, including work-life balance problems. CONCLUSIONS: Proposals to address mental health inequalities should be considered in the context of the necessary global changes both at the societal level and in the delivery of mental health services. Additionally, they should be considered with the active involvement of migrants, families, and communities in the design and delivery of mental health promotion and care processes."
34886336,Examining the Relation between Caregiver Mental Health and Student Outcomes in  Rural China.,2021,Int J Environ Res Public Health,Journal Article,eng,"Research continues to highlight the central relationship between caregivers'  mental health and their children's development. This study examined the relation between primary caregivers' mental health and school-aged children's outcomes, including student mental health, resilience, and academic performance, in rural China. Using cross-sectional data from economically poor areas in the Gansu province, 2989 students (mean age = 11.51, 53.33% male, 46.67% female) and their primary caregivers (74.2% female) completed the 21-item, self-report Depression Anxiety Stress Scale. Students also completed the 25-item Connor-Davidson Resilience Scale and a standardized math test. The results indicated a high prevalence of caregiver depression (31%), stress (39%), and anxiety (24%). Characteristics that were significantly correlated with caregiver mental health issues included being a grandparent, having a low socioeconomic status and low education level, and living in a household with at least one migrant worker. Apart from caregiver stress and student resilience, caregiver mental health issues were negatively correlated with all student outcomes, including student mental health, resilience, and academic performance. Although additional empirical research is needed to investigate the associations between caregiver mental health and student outcomes, our results suggest that rural communities could benefit greatly from programs focused on improving the mental health of caregivers and this, in turn, may have a positive impact on student outcomes."
36533717,Using the PDCA cycle to uncover sources of mental health disparities for  Hispanics.,2023,Int J Ment Health Nurs,Journal Article,eng,"The Hispanic population is growing rapidly in U.S. rural states, yet limitations  in Spanish-speaking behavioural health providers are a barrier to accessing care. In Montana, a new immigrant destination, mental health disparities may not yet be fully understood. We describe an interprofessional approach of nurses and engineers using the Plan-Do-Check-Act (PDCA) cycle to identify disparities in mental health access in a Hispanic community in a rural state. We recruited a community advisory board to inform researchers about potential disparities and to design interventions. The Plan phase consisted of naming the problem and its root causes. Researchers and a community advisory board created flowsheets and diagrams to uncover personal, environmental, political, and procedural contributors to poor mental health outcomes. The Do phase included implementation of a community screening for depression and anxiety. The Check phase revealed 43 mental health screenings where 21% screened positive for depression and 16% screened positive for anxiety. We made 16 referrals to a mental health intervention study. The Act phase led to plans for regular implementation of the health fairs and a study designed to provide Spanish-language mental health services. The success of our interprofessional work provides an example of how the PDCA cycle can be used to uncover potential causes for poor health outcomes and design and evaluate interventions targeted to mitigate those outcomes."
39022408,How does working time impact perceived mental disorders? New insights into the  U-shaped relationship.,2024,Front Public Health,Journal Article,eng,"Based on a large-scale nationally representative survey in China, this paper uses  the exogenous impact of automation on working hours as the instrumental variable to examine working time's impact on perceived mental disorders, on the basis of dealing with endogeneity. Different from existing literature, it is found that the impact of working time on perceived mental disorders is U-shaped, rather than linear. Mental disorders firstly decrease with working hours. After working more than 48.688 h per week, further increases in working time carry notable mental health costs, leading to a positive relationship between working hours and depression. The turning point of this U-shaped relationship is almost in line with the International Labor Organization's 48 working hours/week standard, justifying it from a mental health perspective. In addition, we further exclude the possibility of more complex nonlinear relationships between working time and perceived mental disorders. Furthermore, heterogeneities are found in the effects of working hours on mental disorders across different subgroups. Males are more depressed when working overtime. Older workers have a lower tolerance for overwork stress. The turning point is smaller for the highly educated group and they are more sensitive to working longer. Those with higher socioeconomic status are less depressed after exceeding the optimal hours of work. The increase in depression among rural workers faced with overwork is not prominent. Perceived mental disorders are lower among immigrants and those with higher health status. In addition, labor protection and social security help to weaken mental disorders caused by overtime work. In conclusion, this paper demonstrates that working time has a U-shaped impact on perceived mental disorders and highlights the vulnerability of certain groups, providing a reference for setting optimal working hours from a mental health perspective."
26861795,Discrimination and Depressive Symptoms Among Latina/o Adolescents of Immigrant  Parents.,2016,Int Q Community Health Educ,"Journal Article; Research Support, Non-U.S. Gov't",eng,"Discrimination is associated with negative mental health outcomes for Latina/o  adolescents. While Latino/a adolescents experience discrimination from a number of sources and across contexts, little research considers how the source of discrimination and the context in which it occurs affect mental health outcomes among Latina/o children of immigrants. We examined the association between source-specific discrimination, racial or ethnic background of the source, and school ethnic context with depressive symptoms for Latina/o adolescents of immigrant parents. Using multilevel linear regression with time-varying covariates, we regressed depressive symptoms on source-specific discrimination, racial or ethnic background of the source of discrimination, and school percent Latina/o. Discrimination from teachers (β = 0.06, p < .05), students (β = 0.05, p < .05), Cubans (β = 0.19, p < .001), and Latinas/os (β = 0.19, p < .001) were positively associated with depressive symptoms. These associations were not moderated by school percent Latina/o. The findings indicate a need to reduce discrimination to improve Latina/o adolescents' mental health."
40813640,Patterns of mental health help seeking among Latina immigrant women.,2025,BMC Public Health,Journal Article,eng,"BACKGROUND: Latina immigrant women are at increased risk of poor mental health  due to stressors before, during, and after migration to the United States, including exposure to violence, social isolation, economic instability, and cultural and linguistic barriers. Despite this, they are less likely to seek professional mental health care due to lack of health insurance and limited availability of linguistically and culturally appropriate providers. We sought to describe patterns of mental health help seeking in a community sample of Latina immigrant women. METHODS: This study used survey data from a trial evaluating a mental health intervention among Latina immigrant women in King County, Washington. Descriptive statistics, chi-square tests, and one-way ANOVA were used to describe patterns of mental health support seeking from both professional and non-professional sources, preferred sources of care, and barriers to mental health help seeking across demographic characteristics and mental health conditions (depression, anxiety and PTSD). RESULTS: In our sample, 43% of participants had ever sought mental health help from a professional, and 11% had sought care from a non-professional source. Stigma, particularly concerns about others finding out, and cost were the most common barriers to seeking professional mental health care. Participants with moderate to severe depression or PTSD were more likely to seek professional care. CONCLUSION: By describing patterns of mental health help-seeking, including use of both professional and non-professional sources, this study extends prior research focused on barriers to professional care. Our findings highlight participants' preferences for care and patterns of care-seeking across mental health conditions, emphasizing the need for community-based mental health services that address barriers due to cost, language, and stigma. Interventions involving family support may reduce stigma and enhance existing strengths among Latina immigrants."
19504364,"[Acculturation, bicultural identity and psychiatric morbidity in young Turkish  patients in Germany].",2009,Turk Psikiyatri Derg,Journal Article,tur,"OBJECTIVE: This study was designed to examine, with the use of Berry's  acculturation concept (2003), personal self-esteem and collective esteem in the acculturation of young Turks in Germany. Further, it was aimed to examine whether ethnic identity is linked to better mental health. METHOD: Consecutive psychiatric primary care patients with Turkish background were screened with the 5-item Acculturation Questionnaire, adopted from the Latin American Validated Acculturation Scale. The interviewed patients were also assessed for psychiatric disorders according to ICD-10. RESULTS: By using the acculturation questionnaire among 220 patients included to this study, 154 (70%) patients, (88 male- 57,14%, mean age:22,1 sd. +/- 3,26 and 66 female- 42,85%, mean age: 21,73 sd. +/- 1,19) were found to be relatively good adjusted (group 1), and of 66 (30%) patients (44 male- 66,6%, mean age:26,3 sd. +/-3,39 and 22 female- 33,3%, mean age:25,88 sd. +/- 3,41) were found to be relatively poor adjusted (group 2) to the host community. The psychiatric co-morbidity showed in these two groups two distinct patterns (p< 0.001). Endogenous depression and the depression caused by the conflicts in the family-milieu are significantly more common in the group I. Unlike, the depression triggered by the psycho-social maladjustment is clearly more prevalent in the group II. The predictors of good adaptation were shown to be: bilingualism, bicultural identity and Germany as country of birth, whereas poor adaptation was related to: dominance of ethnic culture and language, and being born outside of Germany. CONCLUSION: The research presented provides firm evidence for a bicultural identity through assessments of several domains of acculturation: language spoken most of the time, language thought, ethnic identity, birthplace and the degree of adjustment to the host community. Cultural identity is one of the key determinants of mental health in evaluating adaptation to the host culture among immigrants. It is vital for the mental health professionals to understand the roles, context, and therapeutic consequences that originate from culture."
19720578,[Ethnopsychiatry in the elderly].,2009,Psychol Neuropsychiatr Vieil,Case Reports; Journal Article; Review,fre,"Ethnopsychiatry is defined as an approach aimed to understand the ethnic and  cultural dimensions of mental illnesses. The triple interest of cross-cultural approach in psychiatry in the elderly is highlighted by a review of the literature and five clinical vignettes. The first interest is to help the diagnosis of mental disorders in aged immigrants. The second is to take into account the ethnopsychogeriatric specificities by the sanitary and social systems. The third involves some aspects of psychiatry in the elderly in Sub-Saharan Africa. With aging, the immigrant has to reinvent, successfully or not, new rationalizations of his/her presence. Moreover, he/she often presents a premature physical over-deterioration linked to difficult existing conditions. Caring for the elderly from an ethnopsychiatric approach supposes firstly, to grant him correct life and physical health conditions; secondly, training of professionals to consider their specific cultural dimensions and at last, adapting the care and help services. Ethnopsychiatry or cultural psychiatry in the elderly must take into account the social and cultural representations of the diseases. Presently, depression among the elderly is common in Africa and dementia is not rare."
36497927,"A Global Survey of Ethnic Indian Women Living with Polycystic Ovary Syndrome:  Co-Morbidities, Concerns, Diagnosis Experiences, Quality of Life, and Use of Treatment Methods.",2022,Int J Environ Res Public Health,Journal Article,eng,"BACKGROUND: Polycystic ovary syndrome (PCOS) is a common endocrinopathy that is  highly prevalent in women of Indian ethnicity. Clinical practice guidelines do not adequately consider ethnic-cultural differences in the diagnosing and care of women with PCOS. This study aimed to understand co-morbidities, key concerns, quality of life (QoL), and diagnosis experiences of ethnic Indian women living with PCOS. METHODS: Global online survey of ethnic Indian women of reproductive age living with PCOS. RESULTS: Respondents (n = 4409) had a mean age of 26.8 (SD 5.5) years and reported having a family history of type 2 diabetes (43%) and PCOS (18%). Most of them (64%) were diagnosed with one or more co-morbidities (anxiety/depression being the most common). Irregular periods, cysts on the ovaries, and excess unwanted facial hair growth were their three top concerns. On average, women experienced symptoms of PCOS at the age of 19.0 (SD 5.0) and were diagnosed at the age of 20.8 years (SD 4.8). We report a one-year delay in seeking medical help and a seven-month diagnostic delay, which were associated with poor satisfaction with the information provided related to PCOS and its treatment options (p < 0.01). Women living outside India reported difficulty losing weight as their most key concern; however, they had higher dissatisfaction with the information provided on diet (OR, 0.74; 95% CI, 0.6 to 0.8; p = 0.002), exercise (OR, 0.74; 95% CI, 0.6 to 0.9; p = 0.002) and behavioural advice (OR, 0.74; 95% CI, 0.6 to 0.9; p = 0.004) than women living in India. Most women reported poor QoL in weight and emotion domains. CONCLUSIONS: Ethnic Indian women experience early onset of PCOS symptoms and delay in seeking professional help. Timely diagnosis, providing cultural-specific education related to lifestyle and weight management, and improving psycho-emotional support are key areas that should be addressed in clinical practice and future research."
24643757,Efficacy of a Latino mother-child communication intervention in elementary  schools.,2015,J Sch Nurs,"Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural",eng,"Children of Latino immigrants in the United States encounter ecological stressors  that heighten their risk for depressive symptoms, externalizing behavior, and problems in school. Studies have shown that affirming parent-child communication is protective of child depressive symptoms and accompanying problems. The purpose of this study was to assess the efficacy of an adapted mother-child communication intervention for Latino immigrant mothers and their fourth- to sixth-grade children delivered after school. The intervention, Family Communication (""Comunicación Familiar""), was delivered at children's elementary schools in six sessions lasting 2 hr each. Significant improvements were found in children's reports of problem-solving communication, with their mother and mothers' reports of reduced family conflict. Strengths of the intervention are improved mother-child communication, acquisition of communication skills that can transfer to relationships within the classroom, and a design that allows delivery by nurses or other professional members of the school support team."
38094991,Quality of Life and Psychometric Characteristics of Syrian Refugee Physicians Who  Migrated to Turkey: A Cross-Sectional Study.,2023,Int J Clin Pract,Journal Article,eng,"BACKGROUND: The concept of migration comes with various problems, affecting the  quality of life and psychological state of immigrants. This study aimed to investigate the quality of life and depression and anxiety states of physicians who immigrated to Turkey after the civil war that started in Syria in 2011. METHODS: In this cross-sectional study, a sociodemographic questionnaire form, the short version of the World Health Organization's quality of life assessment tool (WHOQOL-BREF), Beck Depression Inventory (BDI), and Beck Anxiety Inventory (BAI) were applied to Syrian doctors who received integration training to work in refugee health centers established for immigrants in Turkey. RESULTS: A total of 570 participants were included in the study. The median scores of WHOQOL-BREF domains of the participants were 75 for DOM1 (min: 25, max: 100, IQR: 18), 69 for DOM2 (min: 6, max: 100, IQR: 25), 69 for DOM3 (min: 0, max: 100, IQR: 19), and 63 for DOM4 (min: 0, max: 94, IQR: 19). The median BDI score of the participants was 7 (min: 0, max: 41, IQR: 8), and the median BAI score was 5 (min: 0, max: 50, IQR: 8). Having primary care experience, having knowledge about the Turkish healthcare system, believing that they can adapt to work in refugee health centers, and not having a plan to return to their country were found to be associated with a higher score in at least one of the WHOQOL-BREF subdomains. Planning to turn back their country was significantly associated with higher BAI scores. CONCLUSIONS: The overall quality of life of most refugee physicians in Turkey was high, and the BDI and BAI scores were also below the threshold values. Further qualitative studies that allow in-depth analyses may reveal underlying factors for this situation."
38828909,Effect of trauma on asylum seekers and refugees receiving a WHO psychological  intervention: a mediation model.,2024,Eur J Psychotraumatol,"Journal Article; Research Support, Non-U.S. Gov't",eng,"Background: Scalable psychological interventions such as the WHO's Self-Help Plus  (SH+) have been developed for clinical and non-clinical populations in need of psychological support. SH+ has been successfully implemented to prevent common mental disorders among asylum seekers and refugees who are growing in number due to increasing levels of forced migration. These populations are often exposed to multiple, severe sources of traumatisation, and evidence of the effect of such events on treatment is insufficient, especially for non-clinical populations.Objective: We aim to study the effect of potentially traumatic experiences (PTEs) and the mediating role of symptoms of posttraumatic stress disorder (PTSD) on the improvement following SH+.Method: Participants allocated to SH+ who received at least three sessions (N = 345) were extracted from two large, randomised, European prevention trials involving asylum seekers and refugees. Measures of distress, depression, functional impairment, and post-traumatic stress symptoms were administered at baseline and 6 months post-intervention, together with measures of well-being and quality of life. Adjusted models were constructed to examine the effect of PTEs on post-intervention improvement. The possible mediating role of PTSD symptoms in this relationship was then tested.Results: Increasing numbers of PTEs decreased the beneficial effect of SH+ for all measures. This relationship was mediated by symptoms of PTSD when analysing measures of well-being and quality of life. However, this did not apply for measures of mental health problems.Conclusions: Exposure to PTEs may largely reduce benefits from SH+. PTSD symptomatology plays a specific, mediating role on psychological well-being and quality of life of participants who experienced PTE. Healthcare professionals and researchers should consider the role of PTEs and PTSD symptoms in the treatment of migrants and refugees and explore possible feasible add-on solutions for cases exposed to multiple PTEs."
23078667,"Race/Ethnicity and self-reported levels of discrimination and psychological  distress, California, 2005.",2012,Prev Chronic Dis,"Journal Article; Research Support, Non-U.S. Gov't",eng,"INTRODUCTION: Little is known about the relationship between discrimination and  distress among multiple racial groups because previous studies have focused primarily on either blacks or Asian Americans. The objective of this study was to assess the association between self-reported experiences of racial discrimination and symptoms of psychological distress among 5 racial/ethnic groups in California. METHODS: I used data from the 2005 California Health Interview Survey describing an adult sample of 27,511 non-Hispanic whites, 8,020 Hispanics, 1,813 non-Hispanic blacks, 3,875 non-Hispanic Asians, and 1,660 people of other races/ethnicities. The Kessler 6-item Psychological Distress Scale determined symptoms of psychological distress. I used a single-item, self-reported measure to ascertain experiences of racial discrimination. RESULTS: Reports of racial discrimination differed significantly among racial groups. Self-reported discrimination was independently associated with psychological distress after adjusting for race/ethnicity, age, sex, education level, employment status, general health status, nativity and citizenship status, English use and proficiency, ability to understand the doctor at last visit, and geographic location. The relationship between discrimination and psychological distress was modified by the interaction between discrimination and race/ethnicity; the effect of discrimination on distress was weaker for minority groups (ie, blacks and people of other races/ethnicities) than for whites. CONCLUSION: Self-reported discrimination may be a key predictor of high levels of psychological distress among racial/ethnic groups in California, and race appears to modify this association. Public health practitioners should consider the adverse effects of racial discrimination on minority health."
20122263,Acculturation and self-reported health among Hispanics using a socio-behavioral  model: the North Texas Healthy Heart Study.,2010,BMC Public Health,"Journal Article; Research Support, N.I.H., Extramural",eng,"BACKGROUND: Acculturation is a continuous, firsthand contact with other cultures  functioning at both group and individual levels and is reflected in our culturally diverse society, calling for a greater understanding of the environmental and cultural impact on health. Self-reported health (SRH), a robust and well validated predictor of future mortality for all racial/ethnic groups, has been differentially reported by Hispanics compared to whites, especially based on their acculturation status. This study investigated the relationship between acculturation and SRH among Hispanics. An adapted Andersen framework was used to develop logistic regression models to assess for an association between acculturation and general health status. METHODS: Hispanic participants (n = 135), as part of the North Texas Healthy Heart Study, were administered standardized questionnaires on acculturation, psychosocial measures which included sense of control, stress, depression and social support and a single item SRH measure. In addition, physiological measurements and demographic characteristics including age, gender, body mass index, medical history, and socioeconomic status were also obtained. RESULTS: Bivariate analyses found Mexican-oriented participants 3.16 times more likely to report fair/poor SRH compared to Anglo-oriented Hispanics. Acculturation was also associated with SRH in multiple regression models controlling for enabling, need, and predisposing factors together (OR: 3.53, 95% CI: 1.04, 11.97). CONCLUSIONS: Acculturation status was associated with SRH after accounting for other underlying factors. Medical and public health professionals should promote the use of acculturation measures in order to better understand its role in Hispanic behaviors, health outcomes and health care use. Such research findings will contribute to the design of culturally sensitive prevention and treatment strategies for diverse and immigrant populations."
32172536,Measurement equivalence of the Kessler 6 Psychological Distress Scale for Chinese  and Korean immigrants: Comparison between younger and older adults.,2020,Int J Methods Psychiatr Res,Comparative Study; Journal Article,eng,"OBJECTIVES: The Kessler 6 (K6) Psychological Distress Scale is a well-known  instrument to screen for psychological distress of general populations. It is critical to perform the equivalence test of the K6 for Asian immigrant subgroups. METHODS: The 2012 California Health Interview Survey data were used (N = 1,210; Chinese = 640, Koreans = 570). Among 1,210, 734 were younger (18-64 years) and 476 were older (65+) adults. It was examined whether parameters in the measurement model is equivalent across the two groups, using multiple-group analysis. The equivalence tests for Chinese and Koreans were separately performed based on different age groups (younger [18-64] vs. older [65+]). RESULTS: The younger group had good model fit (X(2) = 41.27 [df = 16, p = .001], X(2) /df = 2.58, Comparative Fit Index [CFI] = 0.99, Goodness of Fit Index [GFI] = 0.98, root mean square error or approximation [RMSEA] = 0.05, standardized root mean residual [SRMR] = 0.03), and the older group also showed good model fit (X(2) = 41.70 [df = 16, p < .001], X(2) /df = 2.61, CFI = 0.98, GFI = 0.97, RMSEA = 0.06, SRMR = 0.04). The model for older group indicated measurement noninvariance between Chinese and Korean immigrants (ΔX(2) = 17.86, Δdf = 5, p = .003, CFI = 0.972, ΔCFI = 0.009). The items ""hopeless,"" ""restless,"" and ""depress,"" were significantly nonequivalent between the two groups. CONCLUSIONS: Clinicians/researchers should be aware of the potential risk for misclassification when they screen psychological distress of Chinese or Korean older immigrants. Professionals should pay attention to cross-cultural comparability when interpreting results from the K6."
25802406,Migrant health in cancer: outcome disparities and the determinant role of  migrant-specific variables.,2015,Oncologist,"Journal Article; Research Support, Non-U.S. Gov't",eng,"BACKGROUND: Multiethnic societies face challenges in delivering evidence-based  culturally competent health care. This study compared health-related quality of life and psychological morbidity in a hospital-based sample of first-generation migrants and Australian-born Anglo cancer patients, controlling for potential confounders related to migrant status. Further, it explored the relative contribution of ethnicity versus migrant-related variables. METHODS: Eligible participants, recruited via 16 oncology clinics in Australia, included those over the age of 18, diagnosed with cancer (any type or stage) within the previous 12 months and having commenced treatment at least 1 month previously. RESULTS: In total, 571 migrant patients (comprising 145 Arabic, 248 Chinese, and 178 Greek) and a control group of 274 Anglo-Australian patients participated. In multiple linear regression models adjusted for age, sex, education, marital status, socioeconomic status, time since diagnosis, and type of cancer, migrants had clinically significantly worse health-related quality of life (HRQL; 3.6-7.3 points on FACT-G, p < .0001), higher depression and anxiety (both p < .0001), and higher incidence of clinical depression (p < .0001) and anxiety (p = .003) than Anglo-Australians. Understanding the health system (p < .0001 for each outcome) and difficulty communicating with the doctor (p = .04 to .0001) partially mediated the impact of migrancy. In migrant-only analyses, migrant-related variables (language difficulty and poor understanding of the health system), not ethnicity, predicted outcomes. CONCLUSION: Migrants who develop cancer have worse psychological and HRQL outcomes than Anglo-Australians. Potential targets for intervention include assistance in navigating the health system, translated information, and cultural competency training for health professionals."
20611049,Depression and anxiety among first-generation immigrant Latino youth: key  correlates and implications for future research.,2010,J Nerv Ment Dis,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",eng,"We examined how the migration and acculturation experiences of first-generation  Latino youth contributed to their psychological well-being. Data came from the LAMHA (Latino Adolescent Migration, Health, and Adaptation) study, which surveyed 281 first-generation Latino immigrant youth, ages 12 to 19. Using logistic regression, we evaluated how migration stressors (i.e., traumatic events, choice of migration, discrimination, and documentation status) and migration supports (i.e. family and teacher support, acculturation, and personal-motivation) were associated with depressive symptoms and anxiety. We found that migration stressors increased the risk of both depressive symptoms and anxiety. Time in the United States and support from family and teachers reduced the risk of depressive symptoms and anxiety. Compared with documented adolescents, undocumented adolescents were at greater risk of anxiety, and children in mixed-status families were at greater risk of anxiety and marginally greater risk of depressive symptoms."
33971841,Informal coercion during childbirth: risk factors and prevalence estimates from a  nationwide survey of women in Switzerland.,2021,BMC Pregnancy Childbirth,Journal Article,eng,"BACKGROUND: In many countries, the increase in facility births is accompanied by  a high rate of obstetric interventions. Lower birthrates or elevated risk factors such as women's higher age at childbirth and an increased need for control and security cannot entirely explain this rise in obstetric interventions. Another possible factor is that women are coerced to agree to interventions, but the prevalence of coercive interventions in Switzerland is unknown. METHODS: In a nationwide cross-sectional online survey, we assessed the prevalence of informal coercion during childbirth, women's satisfaction with childbirth, and the prevalence of women at risk of postpartum depression. Women aged 18 years or older who had given birth in Switzerland within the previous 12 months were recruited online through Facebook ads or through various offline channels. We used multivariable logistic regression to estimate the risk ratios associated with multiple individual and contextual factors. RESULTS: In total, 6054 women completed the questionnaire (a dropout rate of 16.2%). An estimated 26.7% of women experienced some form of informal coercion during childbirth. As compared to vaginal delivery, cesarean section (CS) and instrumental vaginal birth were associated with an increased risk of informal coercion (planned CS risk ratio [RR]: 1.52, 95% confidence interval [1.18,1.96]; unplanned CS RR: 1.92 [1.61,2.28]; emergency CS RR: 2.10 [1.71,2.58]; instrumental vaginal birth RR: 2.17 [1.85,2.55]). Additionally, migrant women (RR: 1.45 [1.26,1.66]) and women for whom a self-determined vaginal birth was more important (RR: 1.15 [1.06,1.24]) more often reported informal coercion. Emergency cesarean section (RR: 1.32 [1.08,1.62]), being transferred to hospital (RR: 1.33 [1.11,1.60]), and experiencing informal coercion (RR: 1.35 [1.19,1.54]) were all associated with a higher risk of postpartum depression. Finally, women who had a non-instrumental vaginal birth reported higher satisfaction with childbirth while women who experienced informal coercion reported lower satisfaction. CONCLUSIONS: One in four women experience informal coercion during childbirth, and this experience is associated with a higher risk of postpartum depression and lower satisfaction with childbirth. To prevent traumatic after-effects, health care professionals should make every effort to prevent informal coercion and to ensure sensitive aftercare for all new mothers."
